municipality,type,iata_code,latitude_deg,longitude_deg,iso_country
Meshoppen,small_airport,,41.59590148925781,-76.02960205078125,US
York,small_airport,,35.032100677490234,-81.25279998779297,US
Arlington,heliport,,32.69419860839844,-97.11579895019531,US
Forney,small_airport,,32.73759841918945,-96.4280014038086,US
Collierville,small_airport,,34.99589920043945,-89.73059844970703,US
Fort Worth,closed,,32.7285,-97.324501,US
Clute,heliport,,29.012067,-95.402119,US
Waxahachie,closed,,32.388115,-96.877398,US
Duckwater,small_airport,,38.849785,-115.634987,US
La Sal,small_airport,,38.30830001831055,-109.39600372314453,US
Berryville,small_airport,,39.125,-77.9250030518,US
South Bend,heliport,,46.66320037841797,-123.81199645996094,US
Tomah,small_airport,,44.0099983215332,-90.38919830322266,US
Coupeville,heliport,,48.213401794433594,-122.68499755859375,US
Renton,heliport,,47.518178,-122.210908,US
Pine Haven,small_airport,,44.348312,-104.8106,US
Kyle,heliport,,30.007222,-97.853333,US
Athens,heliport,,32.020198822021484,-95.74549865722656,US
Big Lake,small_airport,,61.506147,-149.912825,US
Willow,small_airport,,61.876907,-150.097626,US
Foley,small_airport,,30.37150001525879,-87.76439666748047,US
Little Rock,closed,,34.822445,-92.44442,US
Willcox,closed,,32.376401,-109.936996,US
Huntington Beach,heliport,,33.58250045776367,-118.12899780273438,US
Clarksdale,small_airport,,34.129600524902344,-90.52400207519531,US
Frazier Park,small_airport,,34.761101,-119.058998,US
Monte Vista,small_airport,,37.64329910279999,-106.04699707,US
Ellington,heliport,,41.91960144042969,-72.44450378417969,US
Groveland,small_airport,,28.52669906616211,-81.87480163574219,US
Baker,small_airport,,30.950976,-86.635555,US
Defuniak Springs,closed,,30.642527,-86.118779,US
Commerce,small_airport,,34.202598571777344,-83.42900085449219,US
Euharlee,small_airport,,34.17530059814453,-84.92440032958984,US
Honolulu,heliport,,21.35839,-157.94789,US
Boone,heliport,,42.05609893798828,-93.87799835205078,US
Cascade,small_airport,,44.55550003051758,-115.30500030517578,US
Westfield,small_airport,,40.06230163574219,-86.21050262451172,US
Muncie,small_airport,,40.208900451660156,-85.54080200195312,US
Libertyville,heliport,,42.274600982666016,-87.9572982788086,US
St Marys,small_airport,,39.222198486328125,-96.0552978515625,US
Morehead,heliport,,38.181441,-83.443319,US
Frankfort,heliport,,38.190282,-84.906442,US
Bossier City,heliport,,32.531491,-93.659939,US
Broussard,heliport,,30.148300170898438,-91.91899871826172,US
Cuttyhunk,heliport,,41.419601,-70.927002,US
Brandywine,small_airport,,38.672544,-76.709739,US
Acton,small_airport,,43.537467,-70.930685,US
Greenville,small_airport,,43.157100677490234,-85.14849853515625,US
Greenbush,closed,,48.686527,-96.191976,US
Troy,small_airport,,39.04999923706055,-91.03350067138672,US
Rochdale,small_airport,,34.095701,-90.846131,US
Cascade,closed,,47.2374,-111.74304,US
Cassville,closed,,36.655612,-93.802387,US
Landis,closed,,35.540477,-80.598047,US
Valparaiso,small_airport,,41.074501037597656,-96.90450286865234,US
Dummer,seaplane_base,,44.657100677490234,-71.21910095214844,US
Piscataway,heliport,,40.55730056762695,-74.46710205078125,US
Winnemucca,small_airport,,41.299551,-118.926709,US
Durhamville,heliport,,43.132598876953125,-75.65550231933594,US
Fremont,small_airport,,41.376399993896484,-83.08329772949219,US
Conneaut,small_airport,,41.801998138427734,-80.56539916992188,US
Oklahoma City,closed,,35.458401,-97.525297,US
Wilburton,heliport,,34.811412,-95.307727,US
The Dalles,small_airport,,45.68149948120117,-121.31600189208984,US
